phase,method,run_id,round,selected_candidate,true_best_candidate,ISR,hf_cost,candidate_batch_hash
DEV,Proxy Only,dev-harness_skill_evolution-proxy-tools-001,0,a06c4ab483a59d4e3869b51cd57b0f41728e54dbf0bc8acb4c017dc4ea08cf71,3f9866a888e8834e4e9070a4f7e0cd6744d551a025dafbfab8a227092a7e648e,1.0,0.0,85f07b6a7e80f789a6e9ef5941c5c592fa9a37b16aa547b1bc404a28735a443f
DEV,Random HF,dev-harness_skill_evolution-proxy-tools-001,0,a06c4ab483a59d4e3869b51cd57b0f41728e54dbf0bc8acb4c017dc4ea08cf71,3f9866a888e8834e4e9070a4f7e0cd6744d551a025dafbfab8a227092a7e648e,1.0,1.0,85f07b6a7e80f789a6e9ef5941c5c592fa9a37b16aa547b1bc404a28735a443f
DEV,Global-VOI,dev-harness_skill_evolution-proxy-tools-001,0,3f9866a888e8834e4e9070a4f7e0cd6744d551a025dafbfab8a227092a7e648e,3f9866a888e8834e4e9070a4f7e0cd6744d551a025dafbfab8a227092a7e648e,0.0,1.0,85f07b6a7e80f789a6e9ef5941c5c592fa9a37b16aa547b1bc404a28735a443f
DEV,PIVOT-VOI,dev-harness_skill_evolution-proxy-tools-001,0,3f9866a888e8834e4e9070a4f7e0cd6744d551a025dafbfab8a227092a7e648e,3f9866a888e8834e4e9070a4f7e0cd6744d551a025dafbfab8a227092a7e648e,0.0,1.0,85f07b6a7e80f789a6e9ef5941c5c592fa9a37b16aa547b1bc404a28735a443f
DEV,All-HF Oracle,dev-harness_skill_evolution-proxy-tools-001,0,3f9866a888e8834e4e9070a4f7e0cd6744d551a025dafbfab8a227092a7e648e,3f9866a888e8834e4e9070a4f7e0cd6744d551a025dafbfab8a227092a7e648e,0.0,2.0,85f07b6a7e80f789a6e9ef5941c5c592fa9a37b16aa547b1bc404a28735a443f
DEV,Proxy Only,dev-harness_skill_evolution-proxy-tools-002,0,efd82ba6bb23bfc5fc804318d6663836e607ddc5a16810ad49f6b797638350c7,f7948165cb4ae7b3641ab8b6c1f77058e4bb9467a7cb1f064eef816f29dbe390,1.0,0.0,72f6c759bf16e6988bc78f67b881364ce1ef1c872cbb5f0685e1190b9d4cd695
DEV,Random HF,dev-harness_skill_evolution-proxy-tools-002,0,f7948165cb4ae7b3641ab8b6c1f77058e4bb9467a7cb1f064eef816f29dbe390,f7948165cb4ae7b3641ab8b6c1f77058e4bb9467a7cb1f064eef816f29dbe390,0.0,1.0,72f6c759bf16e6988bc78f67b881364ce1ef1c872cbb5f0685e1190b9d4cd695
DEV,Global-VOI,dev-harness_skill_evolution-proxy-tools-002,0,f7948165cb4ae7b3641ab8b6c1f77058e4bb9467a7cb1f064eef816f29dbe390,f7948165cb4ae7b3641ab8b6c1f77058e4bb9467a7cb1f064eef816f29dbe390,0.0,1.0,72f6c759bf16e6988bc78f67b881364ce1ef1c872cbb5f0685e1190b9d4cd695
DEV,PIVOT-VOI,dev-harness_skill_evolution-proxy-tools-002,0,f7948165cb4ae7b3641ab8b6c1f77058e4bb9467a7cb1f064eef816f29dbe390,f7948165cb4ae7b3641ab8b6c1f77058e4bb9467a7cb1f064eef816f29dbe390,0.0,1.0,72f6c759bf16e6988bc78f67b881364ce1ef1c872cbb5f0685e1190b9d4cd695
DEV,All-HF Oracle,dev-harness_skill_evolution-proxy-tools-002,0,f7948165cb4ae7b3641ab8b6c1f77058e4bb9467a7cb1f064eef816f29dbe390,f7948165cb4ae7b3641ab8b6c1f77058e4bb9467a7cb1f064eef816f29dbe390,0.0,2.0,72f6c759bf16e6988bc78f67b881364ce1ef1c872cbb5f0685e1190b9d4cd695
DEV,Proxy Only,dev-mutation_self_edit-proxy-bug-001,0,3ef87ba1f4ef6430f6ddda5c590a5972b4d3105193117dba71bfab6dc67e710c,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,0.0,0.0,d59a565a639a5a1aa55c1a4ec29975ee0954bb560daf0118c47faf0d9fd0712a
DEV,Random HF,dev-mutation_self_edit-proxy-bug-001,0,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,0.0,1.0,d59a565a639a5a1aa55c1a4ec29975ee0954bb560daf0118c47faf0d9fd0712a
DEV,Global-VOI,dev-mutation_self_edit-proxy-bug-001,0,3ef87ba1f4ef6430f6ddda5c590a5972b4d3105193117dba71bfab6dc67e710c,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,0.0,1.0,d59a565a639a5a1aa55c1a4ec29975ee0954bb560daf0118c47faf0d9fd0712a
DEV,PIVOT-VOI,dev-mutation_self_edit-proxy-bug-001,0,3ef87ba1f4ef6430f6ddda5c590a5972b4d3105193117dba71bfab6dc67e710c,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,0.0,1.0,d59a565a639a5a1aa55c1a4ec29975ee0954bb560daf0118c47faf0d9fd0712a
DEV,All-HF Oracle,dev-mutation_self_edit-proxy-bug-001,0,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,0.0,2.0,d59a565a639a5a1aa55c1a4ec29975ee0954bb560daf0118c47faf0d9fd0712a
DEV,Proxy Only,dev-mutation_self_edit-proxy-bug-002,0,3ef87ba1f4ef6430f6ddda5c590a5972b4d3105193117dba71bfab6dc67e710c,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,0.0,0.0,2c647af082cce91e33f87b47cf2fd8e521bc61862722611dfa800f7ec879fcf5
DEV,Random HF,dev-mutation_self_edit-proxy-bug-002,0,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,0.0,1.0,2c647af082cce91e33f87b47cf2fd8e521bc61862722611dfa800f7ec879fcf5
DEV,Global-VOI,dev-mutation_self_edit-proxy-bug-002,0,3ef87ba1f4ef6430f6ddda5c590a5972b4d3105193117dba71bfab6dc67e710c,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,0.0,1.0,2c647af082cce91e33f87b47cf2fd8e521bc61862722611dfa800f7ec879fcf5
DEV,PIVOT-VOI,dev-mutation_self_edit-proxy-bug-002,0,3ef87ba1f4ef6430f6ddda5c590a5972b4d3105193117dba71bfab6dc67e710c,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,0.0,1.0,2c647af082cce91e33f87b47cf2fd8e521bc61862722611dfa800f7ec879fcf5
DEV,All-HF Oracle,dev-mutation_self_edit-proxy-bug-002,0,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,0.0,2.0,2c647af082cce91e33f87b47cf2fd8e521bc61862722611dfa800f7ec879fcf5
DEV,Proxy Only,dev-mutation_self_edit-proxy-tools-001,0,3ef87ba1f4ef6430f6ddda5c590a5972b4d3105193117dba71bfab6dc67e710c,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,0.0,0.0,2c647af082cce91e33f87b47cf2fd8e521bc61862722611dfa800f7ec879fcf5
DEV,Random HF,dev-mutation_self_edit-proxy-tools-001,0,3ef87ba1f4ef6430f6ddda5c590a5972b4d3105193117dba71bfab6dc67e710c,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,0.0,1.0,2c647af082cce91e33f87b47cf2fd8e521bc61862722611dfa800f7ec879fcf5
DEV,Global-VOI,dev-mutation_self_edit-proxy-tools-001,0,3ef87ba1f4ef6430f6ddda5c590a5972b4d3105193117dba71bfab6dc67e710c,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,0.0,1.0,2c647af082cce91e33f87b47cf2fd8e521bc61862722611dfa800f7ec879fcf5
DEV,PIVOT-VOI,dev-mutation_self_edit-proxy-tools-001,0,3ef87ba1f4ef6430f6ddda5c590a5972b4d3105193117dba71bfab6dc67e710c,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,0.0,1.0,2c647af082cce91e33f87b47cf2fd8e521bc61862722611dfa800f7ec879fcf5
DEV,All-HF Oracle,dev-mutation_self_edit-proxy-tools-001,0,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,a376b076633de66cf813a1e250f41524e587256ac8e6e8a305ae9575582ba065,0.0,2.0,2c647af082cce91e33f87b47cf2fd8e521bc61862722611dfa800f7ec879fcf5
DEV,Proxy Only,dev-mutation_self_edit-proxy-tools-002,0,50ec108af24232fedf39680f6e5b7157b4b8d4132786553916494c9235826518,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,0.0,0.0,5d4dcf9cdda509e004bfafddbb25781c965a3675fea69018ff539b8b4d148068
DEV,Random HF,dev-mutation_self_edit-proxy-tools-002,0,50ec108af24232fedf39680f6e5b7157b4b8d4132786553916494c9235826518,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,0.0,1.0,5d4dcf9cdda509e004bfafddbb25781c965a3675fea69018ff539b8b4d148068
DEV,Global-VOI,dev-mutation_self_edit-proxy-tools-002,0,50ec108af24232fedf39680f6e5b7157b4b8d4132786553916494c9235826518,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,0.0,1.0,5d4dcf9cdda509e004bfafddbb25781c965a3675fea69018ff539b8b4d148068
DEV,PIVOT-VOI,dev-mutation_self_edit-proxy-tools-002,0,50ec108af24232fedf39680f6e5b7157b4b8d4132786553916494c9235826518,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,0.0,1.0,5d4dcf9cdda509e004bfafddbb25781c965a3675fea69018ff539b8b4d148068
DEV,All-HF Oracle,dev-mutation_self_edit-proxy-tools-002,0,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,b34e159e930a97cbc038b492337336722fe6a793e4c1b86ceeeab02e8bbe9ca2,0.0,2.0,5d4dcf9cdda509e004bfafddbb25781c965a3675fea69018ff539b8b4d148068
