method,run_id,round,candidate_id,query_index,task_id,paired_delta,cost,posterior_before,posterior_after,EVSI,observed_information_gain,candidate_batch_hash,logical_hf_query,physical_pair_evaluation,cache_hit
Paired LUCB,harness_skill_evolution-trajectory-000,0,9a06313e7aaeb8486cb7,1,harness_skill_evolution-trajectory-000::0::9a06313e7aaeb8486cb7,-0.5,1.0,0.0,-0.5,0.5,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
Global-VOI,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,0,harness_skill_evolution-trajectory-000::0::e73001b07ee27cf2b02b,0.0,1.0,0.0,0.0,0.0,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
Global-VOI,harness_skill_evolution-trajectory-000,0,9a06313e7aaeb8486cb7,1,harness_skill_evolution-trajectory-000::0::9a06313e7aaeb8486cb7,-0.5,1.0,0.0,-0.5,0.5,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
PIVOT-H,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,0,harness_skill_evolution-trajectory-000::0::e73001b07ee27cf2b02b,0.0,1.0,0.0,0.0,0.0,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
PIVOT-H,harness_skill_evolution-trajectory-000,0,9a06313e7aaeb8486cb7,1,harness_skill_evolution-trajectory-000::0::9a06313e7aaeb8486cb7,-0.5,1.0,0.0,-0.5,0.5,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
PIVOT-VOI,harness_skill_evolution-trajectory-000,0,9a06313e7aaeb8486cb7,0,harness_skill_evolution-trajectory-000::0::9a06313e7aaeb8486cb7,-0.5,1.0,0.0,-0.5,0.5,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
PIVOT-VOI,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,1,harness_skill_evolution-trajectory-000::0::e73001b07ee27cf2b02b,0.0,1.0,0.0,0.0,0.0,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
All-HF Oracle,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,0,harness_skill_evolution-trajectory-000::0::e73001b07ee27cf2b02b,0.0,1.0,0.0,0.0,0.0,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
All-HF Oracle,harness_skill_evolution-trajectory-000,0,9a06313e7aaeb8486cb7,1,harness_skill_evolution-trajectory-000::0::9a06313e7aaeb8486cb7,-0.5,1.0,0.0,-0.5,0.5,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
Random HF,harness_skill_evolution-trajectory-000,0,9a06313e7aaeb8486cb7,0,harness_skill_evolution-trajectory-000::0::9a06313e7aaeb8486cb7,-0.5,1.0,0.0,-0.5,0.5,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
Random HF,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,1,harness_skill_evolution-trajectory-000::0::e73001b07ee27cf2b02b,0.0,1.0,0.0,0.0,0.0,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
Paired LUCB,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,0,harness_skill_evolution-trajectory-000::0::e73001b07ee27cf2b02b,0.0,1.0,0.0,0.0,0.0,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
Paired LUCB,harness_skill_evolution-trajectory-000,0,9a06313e7aaeb8486cb7,1,harness_skill_evolution-trajectory-000::0::9a06313e7aaeb8486cb7,-0.5,1.0,0.0,-0.5,0.5,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
Global-VOI,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,0,harness_skill_evolution-trajectory-000::0::e73001b07ee27cf2b02b,0.0,1.0,0.0,0.0,0.0,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
Global-VOI,harness_skill_evolution-trajectory-000,0,9a06313e7aaeb8486cb7,1,harness_skill_evolution-trajectory-000::0::9a06313e7aaeb8486cb7,-0.5,1.0,0.0,-0.5,0.5,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
PIVOT-H,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,0,harness_skill_evolution-trajectory-000::0::e73001b07ee27cf2b02b,0.0,1.0,0.0,0.0,0.0,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
PIVOT-H,harness_skill_evolution-trajectory-000,0,9a06313e7aaeb8486cb7,1,harness_skill_evolution-trajectory-000::0::9a06313e7aaeb8486cb7,-0.5,1.0,0.0,-0.5,0.5,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
PIVOT-VOI,harness_skill_evolution-trajectory-000,0,9a06313e7aaeb8486cb7,0,harness_skill_evolution-trajectory-000::0::9a06313e7aaeb8486cb7,-0.5,1.0,0.0,-0.5,0.5,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
PIVOT-VOI,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,1,harness_skill_evolution-trajectory-000::0::e73001b07ee27cf2b02b,0.0,1.0,0.0,0.0,0.0,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
All-HF Oracle,harness_skill_evolution-trajectory-000,0,e73001b07ee27cf2b02b,0,harness_skill_evolution-trajectory-000::0::e73001b07ee27cf2b02b,0.0,1.0,0.0,0.0,0.0,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
All-HF Oracle,harness_skill_evolution-trajectory-000,0,9a06313e7aaeb8486cb7,1,harness_skill_evolution-trajectory-000::0::9a06313e7aaeb8486cb7,-0.5,1.0,0.0,-0.5,0.5,,74b3822effebf872c6ebf2cda4adb1087ec51b9a67d67aa04003aef28c08b37f,,,
Random HF,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,0,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Paired LUCB,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Global-VOI,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
PIVOT-H,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
PIVOT-VOI,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,0,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
All-HF Oracle,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
All-HF Oracle,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,1,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Random HF,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,0,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Random HF,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,1,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Paired LUCB,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Paired LUCB,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,1,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Global-VOI,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Global-VOI,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,1,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
PIVOT-H,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
PIVOT-H,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,1,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
PIVOT-VOI,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,0,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
PIVOT-VOI,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,1,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
All-HF Oracle,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
All-HF Oracle,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,1,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Random HF,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Random HF,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,1,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Paired LUCB,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Paired LUCB,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,1,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Global-VOI,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
Global-VOI,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,1,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
PIVOT-H,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
PIVOT-H,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,1,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
PIVOT-VOI,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,0,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
PIVOT-VOI,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,1,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
All-HF Oracle,mutation_self_edit-trajectory-000,0,d9013a104d99cf7669fc,0,mutation_self_edit-trajectory-000::0::d9013a104d99cf7669fc,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
All-HF Oracle,mutation_self_edit-trajectory-000,0,3098fb46b6137e3209ed,1,mutation_self_edit-trajectory-000::0::3098fb46b6137e3209ed,-0.5,1.0,0.0,-0.5,0.5,,7614bbddec3fd5611d671facbc0c8d6056ffdd97360cc482c9b9483b2ed2843b,,,
